generalized_domain,Company_name
iot-coaps.af-south-1.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.ap-southeast-2.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.ap-southeast-1.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.ap-southeast-3.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.cn-east-3.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.cn-east-2.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.cn-east-1.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.cn-north-1.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.cn-south-1.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.cn-south-2.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.sa-argentina-1.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.sa-peru-1.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.la-south-2.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.sa-chile-1.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.na-mexico-1.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.sa-brazil-1.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.cn-southwest-2.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.cn-southwest-1.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.cn-north-4.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.cn-north-2.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.cn-north-3.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.ru-northwest-2.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.ru-northwest-1.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.eu-west-0.myhuaweicloud.com,'Huawei Technologies'
iot-coaps.la-south-1.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.af-south-1.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.ap-southeast-2.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.ap-southeast-1.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.ap-southeast-3.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.cn-east-3.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.cn-east-2.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.cn-east-1.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.cn-north-1.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.cn-south-1.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.cn-south-2.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.sa-argentina-1.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.sa-peru-1.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.la-south-2.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.sa-chile-1.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.na-mexico-1.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.sa-brazil-1.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.cn-southwest-2.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.cn-southwest-1.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.cn-north-4.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.cn-north-2.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.cn-north-3.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.ru-northwest-2.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.ru-northwest-1.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.eu-west-0.myhuaweicloud.com,'Huawei Technologies'
iot-mqtts.la-south-1.myhuaweicloud.com,'Huawei Technologies'
iot-https.af-south-1.myhuaweicloud.com,'Huawei Technologies'
iot-https.ap-southeast-2.myhuaweicloud.com,'Huawei Technologies'
iot-https.ap-southeast-1.myhuaweicloud.com,'Huawei Technologies'
iot-https.ap-southeast-3.myhuaweicloud.com,'Huawei Technologies'
iot-https.cn-east-3.myhuaweicloud.com,'Huawei Technologies'
iot-https.cn-east-2.myhuaweicloud.com,'Huawei Technologies'
iot-https.cn-east-1.myhuaweicloud.com,'Huawei Technologies'
iot-https.cn-north-1.myhuaweicloud.com,'Huawei Technologies'
iot-https.cn-south-1.myhuaweicloud.com,'Huawei Technologies'
iot-https.cn-south-2.myhuaweicloud.com,'Huawei Technologies'
iot-https.sa-argentina-1.myhuaweicloud.com,'Huawei Technologies'
iot-https.sa-peru-1.myhuaweicloud.com,'Huawei Technologies'
iot-https.la-south-2.myhuaweicloud.com,'Huawei Technologies'
iot-https.sa-chile-1.myhuaweicloud.com,'Huawei Technologies'
iot-https.na-mexico-1.myhuaweicloud.com,'Huawei Technologies'
iot-https.sa-brazil-1.myhuaweicloud.com,'Huawei Technologies'
iot-https.cn-southwest-2.myhuaweicloud.com,'Huawei Technologies'
iot-https.cn-southwest-1.myhuaweicloud.com,'Huawei Technologies'
iot-https.cn-north-4.myhuaweicloud.com,'Huawei Technologies'
iot-https.cn-north-2.myhuaweicloud.com,'Huawei Technologies'
iot-https.cn-north-3.myhuaweicloud.com,'Huawei Technologies'
iot-https.ru-northwest-2.myhuaweicloud.com,'Huawei Technologies'
iot-https.ru-northwest-1.myhuaweicloud.com,'Huawei Technologies'
iot-https.eu-west-0.myhuaweicloud.com,'Huawei Technologies'
iot-https.la-south-1.myhuaweicloud.com,'Huawei Technologies'
iot-acc.af-south-1.myhuaweicloud.com,'Huawei Technologies'
iot-acc.ap-southeast-2.myhuaweicloud.com,'Huawei Technologies'
iot-acc.ap-southeast-1.myhuaweicloud.com,'Huawei Technologies'
iot-acc.ap-southeast-3.myhuaweicloud.com,'Huawei Technologies'
