company,domain_A_queries,domain_AAAA_queries,domain_CNAME_queries
'Huawei Technologies',.\.(iot-(coaps|mqtts|https|amqps|api|da)\.).+\.myhuaweicloud\.com\.$/A,.\.(iot-(coaps|mqtts|https|amqps|api|da)\.).+\.myhuaweicloud\.com\.$/AAAA,.\.(iot-(coaps|mqtts|https|amqps|api|da)\.).+\.myhuaweicloud\.com\.$/CNAME
'Huawei Technologies',.\.(iot-(coaps|mqtts|https|amqps|api|da)\.).+\.huaweicloud\.com\.$/A,.\.(iot-(coaps|mqtts|https|amqps|api|da)\.).+\.huaweicloud\.com\.$/AAAA,.\.(iot-(coaps|mqtts|https|amqps|api|da)\.).+\.huaweicloud\.com\.$/CNAME
'Amazon AWS',(.+)(\.iot\.)([[:alnum:]]+(-[[:alnum:]]+)+)?(\.amazonaws\.com\.$)/A,(.+)(\.iot\.)([[:alnum:]]+(-[[:alnum:]]+)+)?(\.amazonaws\.com\.$)/AAAA,(.+)(\.iot\.)([[:alnum:]]+(-[[:alnum:]]+)+)?(\.amazonaws\.com\.$)/CNAME
'Amazon AWS',(.+)(\.lorawan\.)([[:alnum:]]+(-[[:alnum:]]+)+)?(\.amazonaws\.com\.$)/A,(.+)(\.lorawan\.)([[:alnum:]]+(-[[:alnum:]]+)+)?(\.amazonaws\.com\.$)/AAAA,(.+)(\.lorawan\.)([[:alnum:]]+(-[[:alnum:]]+)+)?(\.amazonaws\.com\.$)/CNAME
'Alibaba Cloud',(.+\.|^)coap\..+\.link\.aliyuncs\.com\.$/A,(.+\.|^)coap\..+\.link\.aliyuncs\.com\.$/AAAA,(.+\.|^)coap\..+\.link\.aliyuncs\.com\.$/CNAME
'Alibaba Cloud',.\.(iot-(as-(coap|mqtt|amqp|http|http2)|amqp)\.).+\.aliyuncs\.com\.$/A,.\.(iot-(as-(coap|mqtt|amqp|http|http2)|amqp)\.).+\.aliyuncs\.com\.$/AAAA,.\.(iot-(as-(coap|mqtt|amqp|http|http2)|amqp)\.).+\.aliyuncs\.com\.$/CNAME
'Oracle',(.+\.|^)(iot\.)([[:alnum:]]+(-[[:alnum:]]+)*\.)?(oraclecloud\.com\.$)/A,(.+\.|^)(iot\.)([[:alnum:]]+(-[[:alnum:]]+)*\.)?(oraclecloud\.com\.$)/AAAA,(.+\.|^)(iot\.)([[:alnum:]]+(-[[:alnum:]]+)*\.)?(oraclecloud\.com\.$)/CNAME
'Oracle',.+\.oracleiotcloud\.com\.$/A,.+\.oracleiotcloud\.com\.$/AAAA,.+\.oracleiotcloud\.com\.$/CNAME
Baidu,.\.(iot\.)([[:alnum:]]+(-[[:alnum:]]+)*\.)?(baidubce\.com\.$)/A,.\.(iot\.)([[:alnum:]]+(-[[:alnum:]]+)*\.)?(baidubce\.com\.$)/AAAA,.\.(iot\.)([[:alnum:]]+(-[[:alnum:]]+)*\.)?(baidubce\.com\.$)/CNAME
PTC,(.+\.|^)(cloud\.thingworx\.com\.$)/A,(.+\.|^)(cloud\.thingworx\.com\.$)/AAAA,(.+\.|^)(cloud\.thingworx\.com\.$)/CNAME
