generalized_domain,domain_A_queries,domain_AAAA_queries,company,Num,Domain,search_pattern,domain_CNAME_queries,searched_correctly
tencentdevices.com,rrset/name/*.tencentdevices.com./A,rrset/name/*.tencentdevices.com./AAAA,Tencent Holdings,27.0,tencentdevices.com,(\S+\.)*(?=tencentdevices\.com$),rrset/name/*.tencentdevices.com./CNAME,True
iot-coaps.af-south-1.myhuaweicloud.com.,rrset/name/*.iot-coaps.af-south-1.myhuaweicloud.com./A,rrset/name/*.iot-coaps.af-south-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.af-south-1.myhuaweicloud.com./CNAME,
iot-coaps.ap-southeast-2.myhuaweicloud.com.,rrset/name/*.iot-coaps.ap-southeast-2.myhuaweicloud.com./A,rrset/name/*.iot-coaps.ap-southeast-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.ap-southeast-2.myhuaweicloud.com./CNAME,
iot-coaps.ap-southeast-1.myhuaweicloud.com.,rrset/name/*.iot-coaps.ap-southeast-1.myhuaweicloud.com./A,rrset/name/*.iot-coaps.ap-southeast-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.ap-southeast-1.myhuaweicloud.com./CNAME,
iot-coaps.ap-southeast-3.myhuaweicloud.com.,rrset/name/*.iot-coaps.ap-southeast-3.myhuaweicloud.com./A,rrset/name/*.iot-coaps.ap-southeast-3.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.ap-southeast-3.myhuaweicloud.com./CNAME,
iot-coaps.cn-east-3.myhuaweicloud.com.,rrset/name/*.iot-coaps.cn-east-3.myhuaweicloud.com./A,rrset/name/*.iot-coaps.cn-east-3.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.cn-east-3.myhuaweicloud.com./CNAME,
iot-coaps.cn-east-2.myhuaweicloud.com.,rrset/name/*.iot-coaps.cn-east-2.myhuaweicloud.com./A,rrset/name/*.iot-coaps.cn-east-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.cn-east-2.myhuaweicloud.com./CNAME,
iot-coaps.cn-east-1.myhuaweicloud.com.,rrset/name/*.iot-coaps.cn-east-1.myhuaweicloud.com./A,rrset/name/*.iot-coaps.cn-east-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.cn-east-1.myhuaweicloud.com./CNAME,
iot-coaps.cn-north-1.myhuaweicloud.com.,rrset/name/*.iot-coaps.cn-north-1.myhuaweicloud.com./A,rrset/name/*.iot-coaps.cn-north-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.cn-north-1.myhuaweicloud.com./CNAME,
iot-coaps.cn-south-1.myhuaweicloud.com.,rrset/name/*.iot-coaps.cn-south-1.myhuaweicloud.com./A,rrset/name/*.iot-coaps.cn-south-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.cn-south-1.myhuaweicloud.com./CNAME,
iot-coaps.cn-south-2.myhuaweicloud.com.,rrset/name/*.iot-coaps.cn-south-2.myhuaweicloud.com./A,rrset/name/*.iot-coaps.cn-south-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.cn-south-2.myhuaweicloud.com./CNAME,
iot-coaps.sa-argentina-1.myhuaweicloud.com.,rrset/name/*.iot-coaps.sa-argentina-1.myhuaweicloud.com./A,rrset/name/*.iot-coaps.sa-argentina-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.sa-argentina-1.myhuaweicloud.com./CNAME,
iot-coaps.sa-peru-1.myhuaweicloud.com.,rrset/name/*.iot-coaps.sa-peru-1.myhuaweicloud.com./A,rrset/name/*.iot-coaps.sa-peru-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.sa-peru-1.myhuaweicloud.com./CNAME,
iot-coaps.la-south-2.myhuaweicloud.com.,rrset/name/*.iot-coaps.la-south-2.myhuaweicloud.com./A,rrset/name/*.iot-coaps.la-south-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.la-south-2.myhuaweicloud.com./CNAME,
iot-coaps.sa-chile-1.myhuaweicloud.com.,rrset/name/*.iot-coaps.sa-chile-1.myhuaweicloud.com./A,rrset/name/*.iot-coaps.sa-chile-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.sa-chile-1.myhuaweicloud.com./CNAME,
iot-coaps.na-mexico-1.myhuaweicloud.com.,rrset/name/*.iot-coaps.na-mexico-1.myhuaweicloud.com./A,rrset/name/*.iot-coaps.na-mexico-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.na-mexico-1.myhuaweicloud.com./CNAME,
iot-coaps.sa-brazil-1.myhuaweicloud.com.,rrset/name/*.iot-coaps.sa-brazil-1.myhuaweicloud.com./A,rrset/name/*.iot-coaps.sa-brazil-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.sa-brazil-1.myhuaweicloud.com./CNAME,
iot-coaps.cn-southwest-2.myhuaweicloud.com.,rrset/name/*.iot-coaps.cn-southwest-2.myhuaweicloud.com./A,rrset/name/*.iot-coaps.cn-southwest-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.cn-southwest-2.myhuaweicloud.com./CNAME,
iot-coaps.cn-southwest-1.myhuaweicloud.com.,rrset/name/*.iot-coaps.cn-southwest-1.myhuaweicloud.com./A,rrset/name/*.iot-coaps.cn-southwest-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.cn-southwest-1.myhuaweicloud.com./CNAME,
iot-coaps.cn-north-4.myhuaweicloud.com.,rrset/name/*.iot-coaps.cn-north-4.myhuaweicloud.com./A,rrset/name/*.iot-coaps.cn-north-4.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.cn-north-4.myhuaweicloud.com./CNAME,
iot-coaps.cn-north-2.myhuaweicloud.com.,rrset/name/*.iot-coaps.cn-north-2.myhuaweicloud.com./A,rrset/name/*.iot-coaps.cn-north-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.cn-north-2.myhuaweicloud.com./CNAME,
iot-coaps.cn-north-3.myhuaweicloud.com.,rrset/name/*.iot-coaps.cn-north-3.myhuaweicloud.com./A,rrset/name/*.iot-coaps.cn-north-3.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.cn-north-3.myhuaweicloud.com./CNAME,
iot-coaps.ru-northwest-2.myhuaweicloud.com.,rrset/name/*.iot-coaps.ru-northwest-2.myhuaweicloud.com./A,rrset/name/*.iot-coaps.ru-northwest-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.ru-northwest-2.myhuaweicloud.com./CNAME,
